Max_Amp,tDrift50,tDrift90,tDrift100,blnoise,tslope,Energy
1052.0000,92.0000,101.0000,121.0000,1.9009,-111.6796,401.1136
1645.0000,58.0000,69.0000,87.0000,2.3404,-113.6211,583.1396
646.0000,69.0000,78.0000,96.0000,2.5474,-107.4827,231.5730
619.0000,76.0000,85.0000,100.0000,2.4652,-110.1100,209.1977
629.0000,57.0000,68.0000,91.0000,1.6086,-111.0981,239.0813
691.0000,65.0000,82.0000,99.0000,3.7508,-111.8536,240.7380
782.0000,76.0000,85.0000,96.0000,1.8910,-111.0195,267.7417
733.0000,62.0000,81.0000,180.0000,2.6971,-110.7510,238.2522
2303.0000,62.0000,71.0000,86.0000,3.3888,-117.2970,894.1988
6595.0000,65.0000,75.0000,94.0000,2.4741,-110.8927,2613.7505
1910.0000,116.0000,134.0000,201.0000,1.7043,-114.9499,717.6543
702.0000,90.0000,109.0000,160.0000,1.9015,-111.6577,238.7785
977.0000,66.0000,75.0000,99.0000,2.2368,-110.3857,342.9744
681.0000,69.0000,84.0000,103.0000,3.5492,-109.2371,238.6884
618.0000,44.0000,53.0000,71.0000,3.4491,-109.4102,215.4916
444.0000,21.0000,32.0000,62.0000,4.1477,-108.0821,143.3326
647.0000,69.0000,77.0000,133.0000,3.1764,-107.5968,238.2498
6556.0000,30.0000,45.0000,84.0000,1.8912,-114.4680,2612.7602
644.0000,45.0000,53.0000,76.0000,1.6108,-109.8696,207.3818
713.0000,68.0000,82.0000,102.0000,2.0150,-111.9234,252.5068
706.0000,66.0000,94.0000,176.0000,1.5525,-110.3872,238.1510
6086.0000,65.0000,82.0000,127.0000,1.5241,-113.9507,2469.0637
1459.0000,66.0000,76.0000,96.0000,1.6884,-115.2354,556.6192
4038.0000,86.0000,93.0000,105.0000,1.8543,-112.7403,1616.0915
808.0000,78.0000,86.0000,100.0000,1.6461,-111.9347,300.9380
1476.0000,51.0000,59.0000,72.0000,3.5302,-111.3149,558.0270
6971.0000,58.0000,69.0000,91.0000,3.6453,-115.2978,2818.5972
3887.0000,37.0000,46.0000,63.0000,2.6168,-111.5597,1493.0651
770.0000,65.0000,74.0000,88.0000,1.8661,-111.1570,238.8237
607.0000,67.0000,78.0000,99.0000,3.0299,-109.3256,212.1938
409.0000,67.0000,77.0000,113.0000,2.5985,-117.9449,118.9393
1528.0000,66.0000,82.0000,98.0000,1.7667,-114.9671,583.9487
544.0000,84.0000,96.0000,164.0000,2.2965,-111.0638,155.3982
976.0000,89.0000,97.0000,109.0000,2.5189,-111.1691,360.6523
5395.0000,40.0000,49.0000,68.0000,2.0487,-112.8273,2130.7279
1148.0000,70.0000,78.0000,97.0000,2.9078,-112.2433,436.1574
1551.0000,80.0000,96.0000,108.0000,2.4926,-113.0377,583.6367
732.0000,151.0000,161.0000,200.0000,2.4787,-110.8260,257.8671
2267.0000,55.0000,68.0000,94.0000,2.0442,-114.0606,860.5542
752.0000,55.0000,63.0000,79.0000,1.7642,-111.5882,277.0328
1233.0000,84.0000,92.0000,106.0000,1.7369,-112.0691,474.1308
3136.0000,32.0000,40.0000,66.0000,3.1519,-113.7251,1150.1172
682.0000,78.0000,87.0000,125.0000,3.6494,-110.4377,238.7079
1528.0000,60.0000,67.0000,80.0000,1.6601,-112.5030,571.2448
797.0000,59.0000,68.0000,82.0000,3.0305,-109.8569,273.3439
5987.0000,50.0000,71.0000,108.0000,1.6081,-113.0576,2379.5976
970.0000,40.0000,47.0000,61.0000,1.7433,-111.8035,351.7984
130.0000,-889.0000,87.0000,286.0000,2.0920,-77.5645,12.0390
1137.0000,43.0000,51.0000,63.0000,6.4092,-110.8979,425.1139
905.0000,135.0000,144.0000,172.0000,3.2263,-111.8035,328.1926
4004.0000,27.0000,54.0000,81.0000,1.9065,-113.9548,1613.9691
536.0000,82.0000,91.0000,105.0000,1.5420,-111.0768,201.4886
892.0000,70.0000,79.0000,109.0000,2.7130,-110.8605,311.9904
6099.0000,74.0000,83.0000,108.0000,7.0695,-112.3459,2417.9739
1326.0000,65.0000,84.0000,96.0000,4.1451,-110.8677,508.7179
4499.0000,101.0000,110.0000,131.0000,3.0804,-114.0658,1677.3791
421.0000,67.0000,77.0000,88.0000,2.2425,-107.6806,126.7648
757.0000,39.0000,47.0000,63.0000,4.5719,-112.1786,266.4433
1300.0000,39.0000,47.0000,69.0000,1.8903,-112.2173,471.4410
664.0000,56.0000,67.0000,81.0000,2.9000,-109.4293,234.4975
2245.0000,97.0000,108.0000,124.0000,1.6399,-112.5790,844.6841
5881.0000,50.0000,58.0000,72.0000,1.7438,-112.8674,2321.6152
1061.0000,47.0000,56.0000,74.0000,3.6256,-111.5936,393.2991
4638.0000,96.0000,104.0000,117.0000,1.5914,-112.6272,1864.1042
791.0000,37.0000,89.0000,110.0000,4.2281,-110.8028,267.1717
1394.0000,82.0000,103.0000,129.0000,2.1381,-125.6780,510.4500
816.0000,114.0000,124.0000,143.0000,5.1035,-111.9363,262.3244
899.0000,73.0000,81.0000,98.0000,2.3744,-112.1975,327.2678
836.0000,88.0000,99.0000,121.0000,2.0383,-110.7052,306.1824
1865.0000,90.0000,98.0000,123.0000,2.9912,-111.4126,727.3172
680.0000,53.0000,62.0000,78.0000,2.9181,-110.4689,238.2870
6553.0000,43.0000,58.0000,82.0000,3.2330,-114.5392,2613.9604
1573.0000,65.0000,74.0000,91.0000,1.8096,-114.0512,584.4208
784.0000,66.0000,78.0000,93.0000,2.7004,-113.8678,277.9072
1365.0000,86.0000,96.0000,119.0000,4.1888,-111.5707,507.9985
5333.0000,85.0000,94.0000,116.0000,3.3389,-126.0950,2064.5578
2244.0000,59.0000,73.0000,88.0000,2.1566,-110.2968,860.6447
885.0000,72.0000,111.0000,129.0000,4.5301,-110.2734,313.0702
1111.0000,58.0000,66.0000,85.0000,2.2394,-113.2641,410.0903
972.0000,70.0000,80.0000,103.0000,6.1452,-111.5497,370.3786
826.0000,77.0000,86.0000,110.0000,2.1031,-109.2870,329.2159
720.0000,100.0000,108.0000,134.0000,1.8993,-110.5114,239.0814
4008.0000,55.0000,62.0000,75.0000,1.5510,-112.8532,1593.0390
1069.0000,86.0000,97.0000,116.0000,6.5645,-108.6726,394.7739
1666.0000,71.0000,82.0000,104.0000,1.7023,-113.3169,644.2155
853.0000,43.0000,67.0000,99.0000,2.0705,-110.4388,316.6024
3654.0000,90.0000,99.0000,124.0000,3.3741,-114.1331,1479.5965
778.0000,52.0000,64.0000,78.0000,2.8874,-106.8086,276.3409
679.0000,72.0000,368.0000,372.0000,2.9777,-105.5794,238.7006
686.0000,82.0000,107.0000,141.0000,2.4374,-111.2011,238.6969
711.0000,78.0000,96.0000,138.0000,1.8384,-111.9239,242.8460
751.0000,68.0000,84.0000,139.0000,4.1010,-111.7160,236.0493
604.0000,133.0000,143.0000,166.0000,2.1195,-111.3425,205.5677
205.0000,43.0000,52.0000,70.0000,1.4594,-111.6563,239.0464
6610.0000,72.0000,80.0000,93.0000,3.1054,-112.5056,2616.2262
4028.0000,58.0000,75.0000,125.0000,1.9276,-113.3490,1616.0244
587.0000,74.0000,85.0000,119.0000,2.0657,-109.4841,210.1335
901.0000,89.0000,99.0000,118.0000,2.3033,-110.8252,293.4533
1533.0000,67.0000,84.0000,130.0000,2.7611,-112.8388,582.8283
739.0000,81.0000,90.0000,107.0000,1.7009,-112.4259,265.7426
4138.0000,68.0000,76.0000,103.0000,2.0880,-112.4723,1638.9768
622.0000,79.0000,87.0000,181.0000,2.0883,-107.9235,223.9209
1043.0000,53.0000,65.0000,80.0000,3.3086,-110.2550,377.6509
756.0000,86.0000,100.0000,136.0000,3.4183,-110.7832,271.7995
710.0000,108.0000,116.0000,129.0000,1.7350,-110.7125,238.7046
1196.0000,66.0000,75.0000,85.0000,1.9992,-112.8964,449.6265
1355.0000,90.0000,105.0000,126.0000,1.9956,-114.0300,525.6499
674.0000,88.0000,96.0000,128.0000,2.7920,-109.0600,238.4172
745.0000,43.0000,52.0000,106.0000,1.8233,-109.9141,262.0185
1130.0000,104.0000,115.0000,163.0000,1.7526,-112.4677,447.5173
910.0000,91.0000,100.0000,119.0000,3.2724,-112.3692,305.2376
515.0000,75.0000,84.0000,100.0000,10.2907,-101.3828,173.1698
6536.0000,86.0000,102.0000,126.0000,4.5269,-114.4649,2613.9914
1178.0000,50.0000,82.0000,156.0000,2.3535,-109.0184,435.0177
779.0000,87.0000,100.0000,142.0000,4.9140,-111.1591,295.2257
591.0000,77.0000,86.0000,100.0000,2.1158,-110.0681,200.2379
1602.0000,115.0000,128.0000,152.0000,1.9991,-114.1699,583.0304
1507.0000,39.0000,51.0000,106.0000,4.1429,-111.6885,583.9754
1497.0000,60.0000,69.0000,88.0000,4.4418,-112.9824,579.8036
860.0000,89.0000,99.0000,125.0000,5.7663,-110.7135,282.7585
1951.0000,80.0000,93.0000,109.0000,5.2426,-112.5614,759.5198
591.0000,70.0000,79.0000,97.0000,2.0879,-111.6169,200.6248
644.0000,101.0000,110.0000,128.0000,2.6518,-112.2390,238.6358
1358.0000,55.0000,64.0000,81.0000,1.4600,-112.7595,533.3943
1278.0000,89.0000,100.0000,121.0000,1.7037,-112.0063,494.4560
1608.0000,91.0000,99.0000,113.0000,1.8716,-111.9493,582.1190
2282.0000,53.0000,77.0000,94.0000,2.2325,-114.8440,893.8270
634.0000,98.0000,107.0000,136.0000,4.9794,-108.8408,234.5198
629.0000,83.0000,94.0000,109.0000,3.0019,-109.9377,220.7313
5628.0000,55.0000,69.0000,89.0000,1.5208,-114.8228,2200.4714
4643.0000,106.0000,114.0000,130.0000,1.7832,-112.5287,1868.2078
647.0000,45.0000,56.0000,82.0000,2.4490,-108.4023,216.2099
594.0000,63.0000,72.0000,103.0000,3.6371,-109.9133,204.9095
859.0000,108.0000,117.0000,137.0000,2.4340,-112.3553,325.7383
649.0000,74.0000,94.0000,137.0000,3.2857,-109.8609,216.1211
661.0000,40.0000,49.0000,100.0000,2.7762,-108.5018,238.2651
630.0000,68.0000,76.0000,87.0000,3.6840,-111.0623,215.2475
1571.0000,66.0000,75.0000,90.0000,1.6633,-113.0273,581.3346
721.0000,63.0000,72.0000,96.0000,3.9696,-108.9556,253.5824
1375.0000,84.0000,93.0000,114.0000,3.8717,-111.3714,502.0334
997.0000,104.0000,114.0000,131.0000,4.7566,-110.6325,364.2614
542.0000,82.0000,116.0000,182.0000,2.1027,-96.3991,160.5293
706.0000,85.0000,104.0000,175.0000,2.1420,-109.7760,238.0192
689.0000,151.0000,181.0000,370.0000,1.7458,-109.1572,238.6788
707.0000,90.0000,106.0000,131.0000,4.0211,-110.4432,217.4258
980.0000,73.0000,81.0000,92.0000,4.1196,-110.4881,358.6046
733.0000,75.0000,86.0000,101.0000,2.5985,-113.5555,258.5193
756.0000,43.0000,51.0000,72.0000,3.5780,-112.4715,265.9127
917.0000,83.0000,91.0000,111.0000,1.6531,-111.5824,344.8364
555.0000,87.0000,96.0000,114.0000,5.4801,-107.6526,202.0561
618.0000,75.0000,83.0000,94.0000,2.2638,-111.6905,213.4063
1674.0000,34.0000,51.0000,85.0000,3.4407,-112.9167,639.9338
5229.0000,73.0000,81.0000,95.0000,1.5678,-115.4461,2100.8755
974.0000,71.0000,91.0000,114.0000,1.5842,-111.9424,343.0844
874.0000,62.0000,80.0000,99.0000,2.4331,-112.9887,288.1464
619.0000,97.0000,106.0000,118.0000,2.0547,-110.6442,234.1220
5725.0000,60.0000,69.0000,89.0000,1.8198,-114.7427,2235.8322
1028.0000,42.0000,50.0000,65.0000,2.2216,-110.5198,365.5606
6457.0000,57.0000,68.0000,91.0000,2.6971,-113.9908,2615.1003
6731.0000,39.0000,48.0000,61.0000,3.1828,-111.9444,2613.7608
653.0000,79.0000,88.0000,115.0000,3.3753,-109.7023,238.8195
612.0000,49.0000,59.0000,117.0000,3.8829,-109.2314,210.0638
673.0000,82.0000,96.0000,108.0000,9.1616,-105.6807,238.1157
1026.0000,77.0000,97.0000,144.0000,2.0687,-113.2848,393.0210
1403.0000,37.0000,65.0000,82.0000,2.0241,-114.3428,533.3315
1305.0000,27.0000,36.0000,83.0000,2.0481,-113.7739,507.3252
851.0000,62.0000,71.0000,83.0000,3.8382,-110.0201,308.1225
880.0000,54.0000,62.0000,83.0000,2.2403,-110.8947,330.3486
737.0000,39.0000,59.0000,101.0000,3.2422,-110.5966,263.8004
2028.0000,52.0000,61.0000,83.0000,5.2119,-113.1243,728.1604
1730.0000,101.0000,110.0000,130.0000,1.5252,-114.0320,634.6063
633.0000,58.0000,68.0000,87.0000,3.6594,-108.2006,214.8050
1422.0000,101.0000,111.0000,123.0000,2.5667,-112.5742,530.3479
4986.0000,65.0000,74.0000,94.0000,5.7364,-114.0242,1981.9228
1341.0000,101.0000,123.0000,148.0000,8.1528,-110.1578,506.7909
1714.0000,66.0000,75.0000,91.0000,1.8316,-112.8888,657.6251
1321.0000,35.0000,44.0000,71.0000,2.4697,-112.0648,506.2632
1279.0000,51.0000,62.0000,113.0000,1.8558,-111.7603,477.2010
964.0000,63.0000,72.0000,98.0000,3.4467,-110.9589,348.9587
6631.0000,93.0000,103.0000,127.0000,1.7805,-126.1670,2589.2312
650.0000,92.0000,125.0000,179.0000,5.3666,-109.0223,241.1360
6436.0000,60.0000,78.0000,120.0000,3.8603,-113.6633,2612.8334
1571.0000,52.0000,62.0000,77.0000,1.9239,-114.2328,583.9785
991.0000,43.0000,71.0000,88.0000,4.3782,-112.2294,337.8780
714.0000,83.0000,93.0000,127.0000,2.5483,-122.2216,238.4921
1121.0000,74.0000,84.0000,101.0000,2.8344,-112.2269,431.3639
742.0000,30.0000,40.0000,61.0000,1.7738,-110.7483,273.8466
660.0000,67.0000,77.0000,119.0000,3.4868,-109.4342,229.7112
710.0000,35.0000,43.0000,54.0000,1.7182,-111.4025,238.5454
1014.0000,63.0000,78.0000,89.0000,3.4678,-111.3590,370.5729
786.0000,92.0000,102.0000,127.0000,2.0872,-111.4393,246.6999
739.0000,69.0000,93.0000,120.0000,2.1299,-110.2125,273.3615
5388.0000,76.0000,109.0000,131.0000,3.6570,-114.4473,2125.3985
657.0000,69.0000,88.0000,127.0000,3.9866,-108.2055,219.3825
1095.0000,64.0000,73.0000,99.0000,1.9314,-111.5443,386.3041
613.0000,51.0000,63.0000,78.0000,2.0064,-110.0247,214.8171
1582.0000,79.0000,88.0000,118.0000,3.5048,-125.2287,582.3166
892.0000,92.0000,101.0000,126.0000,5.8044,-110.7869,315.9089
706.0000,91.0000,99.0000,118.0000,2.2095,-110.7829,238.4973
753.0000,38.0000,48.0000,69.0000,3.0791,-110.3895,238.0478
1124.0000,70.0000,85.0000,120.0000,2.1146,-111.0463,405.7453
1199.0000,72.0000,87.0000,108.0000,2.4978,-110.0701,433.1435
1994.0000,55.0000,68.0000,82.0000,2.6918,-110.3068,758.6464
5764.0000,37.0000,49.0000,72.0000,4.3162,-125.9656,2228.7615
1383.0000,45.0000,56.0000,110.0000,1.9181,-114.2393,524.0574
1646.0000,32.0000,41.0000,61.0000,3.5441,-113.0823,582.1781
463.0000,88.0000,98.0000,112.0000,4.9509,-106.6923,143.7827
701.0000,42.0000,52.0000,80.0000,6.0835,-107.8400,222.2137
548.0000,58.0000,67.0000,87.0000,2.0461,-111.3228,186.1652
3939.0000,90.0000,98.0000,115.0000,4.0512,-113.5859,1588.0950
658.0000,85.0000,114.0000,252.0000,3.8593,-108.0925,233.2697
897.0000,80.0000,89.0000,105.0000,1.8222,-112.7273,327.3125
623.0000,61.0000,71.0000,105.0000,2.2586,-109.7786,216.9650
835.0000,87.0000,95.0000,109.0000,1.8161,-110.8545,311.9394
1414.0000,81.0000,92.0000,113.0000,6.2693,-112.1629,532.7281
850.0000,58.0000,68.0000,100.0000,2.0034,-113.6369,288.0182
572.0000,41.0000,61.0000,105.0000,2.8780,-109.5522,182.9436
677.0000,47.0000,67.0000,107.0000,2.1662,-113.5264,235.7579
223.0000,64.0000,72.0000,86.0000,1.3815,-111.1190,284.3602
4592.0000,66.0000,75.0000,98.0000,2.2801,-126.1793,1770.6929
838.0000,66.0000,86.0000,99.0000,2.8943,-110.0856,296.0364
4225.0000,25.0000,41.0000,69.0000,2.2902,-111.1477,1659.4309
4484.0000,65.0000,73.0000,87.0000,2.3072,-115.3231,1792.4835
627.0000,69.0000,81.0000,111.0000,2.7189,-108.6552,219.4274
2268.0000,52.0000,70.0000,91.0000,1.7854,-113.7675,893.2927
333.0000,77.0000,88.0000,102.0000,1.3670,-110.3707,394.5902
6456.0000,64.0000,75.0000,92.0000,1.7701,-114.0865,2612.7033
5981.0000,112.0000,120.0000,133.0000,1.5782,-113.3373,2410.4164
6438.0000,64.0000,81.0000,127.0000,4.2803,-113.5272,2613.8688
709.0000,66.0000,75.0000,90.0000,4.1350,-109.2249,245.4712
693.0000,30.0000,38.0000,52.0000,3.5464,-109.9640,238.9657
822.0000,86.0000,96.0000,117.0000,3.5049,-112.5380,269.4424
1500.0000,58.0000,67.0000,88.0000,3.3663,-113.2539,574.9395
693.0000,66.0000,77.0000,117.0000,3.6163,-109.7848,238.8755
992.0000,65.0000,75.0000,109.0000,5.5738,-111.6915,333.8412
6346.0000,76.0000,91.0000,112.0000,2.8797,-114.0630,2615.4810
2030.0000,28.0000,37.0000,78.0000,2.4664,-125.0693,755.1863
1477.0000,86.0000,98.0000,125.0000,1.6070,-112.5994,583.7950
678.0000,66.0000,74.0000,84.0000,2.7898,-109.4608,226.5873
614.0000,58.0000,66.0000,84.0000,3.1451,-110.8023,214.4334
5294.0000,41.0000,49.0000,62.0000,7.4215,-112.0445,2084.2280
1068.0000,85.0000,123.0000,136.0000,1.4887,-111.7685,364.0646
1877.0000,45.0000,53.0000,73.0000,2.0776,-114.9735,727.4053
895.0000,68.0000,77.0000,106.0000,1.6485,-111.6342,335.5929
539.0000,78.0000,87.0000,101.0000,5.0021,-108.6136,181.0309
960.0000,75.0000,84.0000,103.0000,2.0545,-109.9626,342.9771
680.0000,80.0000,88.0000,105.0000,1.9514,-112.2162,238.8347
5605.0000,93.0000,102.0000,126.0000,4.9341,-113.7266,2099.8847
293.0000,79.0000,94.0000,133.0000,4.4680,-108.1648,98.0057
1950.0000,68.0000,78.0000,94.0000,3.1057,-114.4706,755.6181
1484.0000,57.0000,69.0000,90.0000,1.4589,-112.5870,584.2368
825.0000,110.0000,128.0000,151.0000,3.7917,-112.9467,267.0126
687.0000,88.0000,106.0000,130.0000,1.5429,-111.4386,252.6989
1080.0000,91.0000,100.0000,112.0000,2.1553,-111.7772,370.3586
4907.0000,98.0000,106.0000,122.0000,1.7618,-112.7583,1938.1972
1306.0000,69.0000,91.0000,134.0000,1.5597,-113.6018,489.0626
5273.0000,121.0000,132.0000,151.0000,4.7045,-114.6071,2080.1122
1926.0000,37.0000,48.0000,75.0000,1.8009,-113.3150,748.6333
6572.0000,43.0000,51.0000,73.0000,1.9974,-112.6461,2612.2290
1508.0000,74.0000,82.0000,96.0000,3.4676,-110.2717,565.2354
1428.0000,48.0000,58.0000,83.0000,6.8413,-110.1900,540.6670
972.0000,41.0000,51.0000,74.0000,1.9288,-123.3467,336.5310
1452.0000,68.0000,77.0000,97.0000,4.5172,-112.4925,561.3568
348.0000,51.0000,62.0000,74.0000,2.0291,-109.6165,102.4250
1341.0000,55.0000,72.0000,95.0000,1.9316,-111.6615,510.3599
6530.0000,83.0000,94.0000,109.0000,3.8973,-111.7183,2616.8685
2312.0000,64.0000,73.0000,90.0000,6.9416,-112.8497,908.5112
620.0000,87.0000,96.0000,117.0000,1.7179,-111.1197,224.9835
529.0000,86.0000,94.0000,108.0000,1.4446,-110.6926,197.8905
1742.0000,20.0000,37.0000,73.0000,3.9813,-113.7152,673.5827
588.0000,82.0000,92.0000,115.0000,1.5992,-109.7257,165.1462
423.0000,97.0000,176.0000,358.0000,4.6521,-106.6315,104.5575
6565.0000,60.0000,68.0000,98.0000,1.9566,-112.2741,2613.1280
5950.0000,48.0000,56.0000,68.0000,3.1019,-112.9784,2383.7996
807.0000,55.0000,68.0000,82.0000,3.0392,-109.6163,277.1620
5723.0000,44.0000,53.0000,75.0000,2.8673,-113.8385,2317.5424
1399.0000,78.0000,87.0000,110.0000,3.6496,-124.6375,510.8239
629.0000,59.0000,75.0000,195.0000,2.0031,-109.9149,214.3160
653.0000,62.0000,72.0000,90.0000,1.9958,-107.6320,204.2075
1553.0000,83.0000,94.0000,111.0000,3.0280,-111.0921,596.5183
656.0000,86.0000,102.0000,153.0000,1.9389,-105.0097,213.4803
1242.0000,46.0000,104.0000,127.0000,2.0818,-111.8742,478.1400
521.0000,39.0000,50.0000,67.0000,4.5850,-107.9930,152.6103
1577.0000,43.0000,53.0000,66.0000,4.0971,-113.1973,582.4030
1258.0000,93.0000,104.0000,168.0000,1.6929,-112.7578,492.4203
721.0000,65.0000,75.0000,92.0000,1.5994,-124.5925,242.1829
711.0000,87.0000,97.0000,116.0000,1.8832,-123.7652,238.4646
665.0000,45.0000,53.0000,66.0000,1.7159,-111.5177,216.4758
840.0000,54.0000,67.0000,82.0000,1.7793,-111.8872,284.6996
4449.0000,44.0000,55.0000,71.0000,2.1685,-114.3745,1750.7309
627.0000,96.0000,105.0000,124.0000,1.4836,-110.8763,238.3663
615.0000,47.0000,57.0000,127.0000,1.8783,-108.1614,204.6057
483.0000,80.0000,90.0000,118.0000,4.4400,-106.9621,147.3600
